Type,Cases,Deaths
True Data,126212.0,9141.0
True Data,126421.0,9142.0
True Data,126680.0,9146.0
True Data,127433.0,9154.0
True Data,127778.0,9159.0
True Data,128239.0,9164.0
True Data,128706.0,9168.0
True Data,129253.0,9181.0
True Data,129582.0,9184.0
True Data,129829.0,9185.0
True Data,130849.0,9193.0
True Data,131385.0,9197.0
True Data,131956.0,9199.0
True Data,132582.0,9205.0
True Data,133197.0,9206.0
True Data,133587.0,9207.0
True Data,133955.0,9209.0
True Data,134335.0,9212.0
True Data,135826.0,9219.0
True Data,136276.0,9223.0
True Data,137169.0,9231.0
True Data,137976.0,9231.0
True Data,138515.0,9233.0
True Data,139028.0,9236.0
True Data,140487.0,9249.0
True Data,141318.0,9257.0
True Data,142270.0,9262.0
True Data,143149.0,9267.0
True Data,144513.0,9279.0
True Data,145137.0,9286.0
True Data,146321.0,9288.0
True Data,148046.0,9300.0
True Data,149351.0,9309.0
True Data,150652.0,9317.0
True Data,151944.0,9325.0
True Data,153680.0,9332.0
True Data,154948.0,9338.0
True Data,156560.0,9343.0
True Data,158510.0,9360.0
True Data,160441.0,9373.0
True Data,162736.0,9391.0
True Data,164583.0,9407.0
True Data,166824.0,9505.0
True Data,168178.0,9526.0
True Data,170289.0,9570.0
True Data,172826.0,9599.0
True Data,174835.0,9617.0
True Data,176535.0,9636.0
True Data,178904.0,9654.0
True Data,181837.0,9668.0
True Data,183792.0,9694.0
True Data,185566.0,9708.0
True Data,186494.0,9720.0
True Data,190739.0,9752.0
True Data,193208.0,9777.0
True Data,195684.0,9796.0
True Data,198329.0,9828.0
True Data,199523.0,9836.0
True Data,201861.0,9860.0
True Data,204976.0,9891.0
True Data,207465.0,9909.0
True Data,210061.0,9946.0
True Data,212541.0,9977.0
True Data,215574.0,10004.0
True Data,216935.0,10026.0
True Data,219704.0,10057.0
True Data,223984.0,10095.0
True Data,226721.0,10120.0
True Data,229446.0,10158.0
True Data,232497.0,10192.0
True Data,235898.0,10237.0
True Data,238191.0,10276.0
True Data,240586.0,10313.0
True Data,243974.0,10345.0
True Data,248905.0,10403.0
True Data,251822.0,10444.0
True Data,254739.0,10484.0
True Data,260195.0,10546.0
True Data,264545.0,10593.0
True Data,268395.0,10641.0
True Data,273304.0,10702.0
True Data,277892.0,10769.0
True Data,281888.0,10832.0
True Data,287329.0,10905.0
True Data,292173.0,10951.0
True Data,296394.0,11013.0
True Data,300597.0,11078.0
True Data,306437.0,11152.0
True Data,311043.0,11220.0
True Data,315586.0,11324.0
True Data,320481.0,11394.0
True Data,325356.0,11461.0
True Data,330240.0,11527.0
True Data,335038.0,11583.0
True Data,341746.0,11662.0
True Data,347135.0,11762.0
True Data,352376.0,11820.0
True Data,357926.0,11902.0
True Data,363884.0,11988.0
True Data,369510.0,12056.0
True Data,374880.0,12130.0
True Data,382708.0,12239.0
True Data,388543.0,12317.0
True Data,395028.0,12423.0
True Data,401325.0,12513.0
True Data,408165.0,12616.0
True Data,414131.0,12690.0
True Data,420281.0,12775.0
True Data,428054.0,12896.0
True Data,434320.0,12993.0
True Data,440737.0,13109.0
True Data,447341.0,13227.0
True Data,454254.0,13355.0
True Data,460332.0,13453.0
True Data,466016.0,13537.0
True Data,474661.0,13677.0
True Data,480952.0,13793.0
True Data,487685.0,13911.0
True Data,495152.0,14067.0
True Data,502197.0,14180.0
True Data,508674.0,14284.0
True Data,514500.0,14374.0
True Data,522076.0,14481.0
True Data,528307.0,14607.0
True Data,535204.0,14752.0
True Data,541936.0,14902.0
True Data,545983.0,14966.0
True Data,551184.0,15051.0
True Data,556649.0,15171.0
True Data,563156.0,15328.0
True Data,571823.0,15528.0
True Data,580573.0,15650.0
True Data,587429.0,15762.0
True Data,591149.0,15806.0
True Data,598091.0,15914.0
True Data,608734.0,16006.0
True Data,618801.0,16247.0
True Data,626129.0,16389.0
True Data,634437.0,16539.0
True Data,642978.0,16704.0
True Data,652373.0,16846.0
True Data,659647.0,16984.0
True Data,666375.0,17074.0
True Data,674624.0,17199.0
True Data,681015.0,17359.0
True Data,688097.0,17539.0
True Data,695359.0,17686.0
True Data,702203.0,17856.0
True Data,708263.0,17978.0
True Data,714316.0,18106.0
True Data,720440.0,18231.0
True Data,725599.0,18382.0
True Data,731371.0,18567.0
True Data,737654.0,18706.0
True Data,743384.0,18887.0
True Data,748123.0,18992.0
True Data,752510.0,19119.0
True Data,758142.0,19245.0
True Data,762368.0,19392.0
True Data,766633.0,19485.0
True Data,771358.0,19676.0
True Data,776171.0,19825.0
True Data,780147.0,19958.0
True Data,783735.0,20041.0
